j,n,m,coef
699.0,36.0,30.0,0.7783687621804081
700.0,36.0,32.0,-0.1616739008406862
701.0,36.0,34.0,0.006236977359545
702.0,36.0,36.0,-0.0012399084467078
722.0,37.0,1.0,-0.0097583902998881
723.0,37.0,3.0,0.4688669876176182
724.0,37.0,5.0,0.4069093074217929
725.0,37.0,7.0,-0.098714459411237
726.0,37.0,9.0,-0.2542606243385016
727.0,37.0,11.0,-0.166130652049715
728.0,37.0,13.0,0.1410408064447911
729.0,37.0,15.0,-0.0245605705430218
730.0,37.0,17.0,0.0662064591000181
731.0,37.0,19.0,-0.2683589057764625
732.0,37.0,21.0,0.2008731141152516
733.0,37.0,23.0,0.043139547268089
734.0,37.0,25.0,-0.0245818352979087
735.0,37.0,27.0,0.0073791118194178
736.0,37.0,29.0,0.01504944823859
737.0,37.0,31.0,-0.0068298152848669
738.0,37.0,33.0,0.0004025301537818
739.0,37.0,35.0,7.170766937111394e-05
740.0,37.0,37.0,5.809931777508623e-06
760.0,38.0,0.0,20.74999875127472
761.0,38.0,2.0,7.757433493889476
762.0,38.0,4.0,-45.19676975803388
763.0,38.0,6.0,-86.5486326623788
764.0,38.0,8.0,-1.6040677260119232
765.0,38.0,10.0,-6.029182938230957
766.0,38.0,12.0,47.59305224858777
767.0,38.0,14.0,-31.250090176225676
768.0,38.0,16.0,11.089404136974697
769.0,38.0,18.0,-2.722433787825183
770.0,38.0,20.0,-1.473081543354344
771.0,38.0,22.0,6.461671863749184
772.0,38.0,24.0,5.997730625560404
773.0,38.0,26.0,3.012919382258519
774.0,38.0,28.0,-3.780967353350092
775.0,38.0,30.0,2.6412779792681724
776.0,38.0,32.0,-0.4912175072393132
777.0,38.0,34.0,-0.0903867849533423
778.0,38.0,36.0,0.0094114958711142
779.0,38.0,38.0,-0.0032379493170055
800.0,39.0,1.0,0.5123497191182408
801.0,39.0,3.0,0.0995225054449139
802.0,39.0,5.0,0.5027771344579283
803.0,39.0,7.0,-0.2215134947582812
804.0,39.0,9.0,-0.2981059953694165
805.0,39.0,11.0,-0.2258152178466838
806.0,39.0,13.0,0.1948652968548724
807.0,39.0,15.0,-0.0021916387225165
808.0,39.0,17.0,0.1585215332335297
809.0,39.0,19.0,-0.404862102117032
810.0,39.0,21.0,0.2457322459446039
811.0,39.0,23.0,0.1842974582132596
812.0,39.0,25.0,-0.0365470399475832
813.0,39.0,27.0,-0.0295642668877848
814.0,39.0,29.0,0.0552068825866461
815.0,39.0,31.0,-0.0207154636384994
816.0,39.0,33.0,-0.0007790513372344
817.0,39.0,35.0,0.0003250254225653
818.0,39.0,37.0,0.0002699228284208
819.0,39.0,39.0,-7.970849126242115e-05
840.0,40.0,0.0,32.648515836444595
841.0,40.0,2.0,-55.43220800666312
842.0,40.0,4.0,-47.85431039325236
843.0,40.0,6.0,-76.53986701173417
844.0,40.0,8.0,-23.689353654620756
845.0,40.0,10.0,41.73913480245427
846.0,40.0,12.0,32.11601007782016
847.0,40.0,14.0,-8.64605138459031
848.0,40.0,16.0,-20.303139771130255
849.0,40.0,18.0,4.992317547981107
850.0,40.0,20.0,9.032221639318657
851.0,40.0,22.0,5.066945663289825
852.0,40.0,24.0,8.85925418287546
853.0,40.0,26.0,12.073847435695534
854.0,40.0,28.0,-10.593232503129714
855.0,40.0,30.0,4.395424016801192
856.0,40.0,32.0,0.1353464758937372
857.0,40.0,34.0,-1.0757046011827067
858.0,40.0,36.0,0.1720523408334087
859.0,40.0,38.0,-0.038512220085855
860.0,40.0,40.0,0.002627791484681
882.0,41.0,1.0,0.6199676807228143
883.0,41.0,3.0,0.0334576045310823
884.0,41.0,5.0,0.17204903962316
885.0,41.0,7.0,-0.1117722279441818
886.0,41.0,9.0,-0.3485428725564499
887.0,41.0,11.0,-0.207887548333903
888.0,41.0,13.0,0.2094234189476634
889.0,41.0,15.0,0.106664442879148
890.0,41.0,17.0,0.1281707667189087
891.0,41.0,19.0,-0.3525023424137748
892.0,41.0,21.0,0.132583351931331
893.0,41.0,23.0,0.4135696825938437
894.0,41.0,25.0,0.0179933305417441
895.0,41.0,27.0,-0.1485948682937271
896.0,41.0,29.0,0.1143102127473192
897.0,41.0,31.0,-0.028408378937133
898.0,41.0,33.0,-0.0122996013375951
899.0,41.0,35.0,-0.0008047398256747
900.0,41.0,37.0,0.0030938152892219
901.0,41.0,39.0,-0.0009944672328638
902.0,41.0,41.0,5.58442667706752e-05
924.0,42.0,0.0,28.469561331340007
925.0,42.0,2.0,-52.1542137972517
926.0,42.0,4.0,-57.91465887500513
927.0,42.0,6.0,-26.16132728530347
928.0,42.0,8.0,-25.684457157137135
929.0,42.0,10.0,68.77645703267743
930.0,42.0,12.0,27.02769378271833
931.0,42.0,14.0,-9.540964144630117
932.0,42.0,16.0,-31.162761531428917
933.0,42.0,18.0,-17.42714821453942
934.0,42.0,20.0,42.824709753525866
935.0,42.0,22.0,2.473225212675555
936.0,42.0,24.0,5.606424265635014
937.0,42.0,26.0,23.447844751569537
938.0,42.0,28.0,-13.753664013456431
939.0,42.0,30.0,-3.0117922348559176
940.0,42.0,32.0,5.913783654426403
941.0,42.0,34.0,-4.814718366202942
942.0,42.0,36.0,0.6524214853856706
943.0,42.0,38.0,-0.103649475556998
944.0,42.0,40.0,0.0029506667665173
945.0,42.0,42.0,0.0019185239269098
968.0,43.0,1.0,0.0519394445315169
969.0,43.0,3.0,0.3530030737775038
970.0,43.0,5.0,-0.3287812181918944
971.0,43.0,7.0,0.0423945115223018
972.0,43.0,9.0,-0.2209438223156252
973.0,43.0,11.0,-0.1487003456084052
974.0,43.0,13.0,0.139953214977898
975.0,43.0,15.0,0.2800217933638353
976.0,43.0,17.0,-0.0803447614985043
977.0,43.0,19.0,-0.1270581787457314
978.0,43.0,21.0,-0.0444203643336465
979.0,43.0,23.0,0.5550110494747302
980.0,43.0,25.0,0.1660809341348084
981.0,43.0,27.0,-0.2766807752367139
982.0,43.0,29.0,0.0640000352218121
983.0,43.0,31.0,0.0321063246397025
984.0,43.0,33.0,-0.0449819008240647
985.0,43.0,35.0,-0.0163641356799711
986.0,43.0,37.0,0.0171203432868033
987.0,43.0,39.0,-0.0046822590852017
988.0,43.0,41.0,-1.1966731422831236e-05
989.0,43.0,43.0,0.0001142519386107
1012.0,44.0,0.0,18.357614499627307
1013.0,44.0,2.0,-6.451292340589032
1014.0,44.0,4.0,-17.492627400067043
1015.0,44.0,6.0,-20.98973616230367
1016.0,44.0,8.0,39.06265910302668
1017.0,44.0,10.0,32.61162330493098
1018.0,44.0,12.0,29.555989604552035
1019.0,44.0,14.0,-28.385280416675997
1020.0,44.0,16.0,-30.421702836209676
1021.0,44.0,18.0,-36.41172361630946
1022.0,44.0,20.0,58.43802127508512
1023.0,44.0,22.0,23.33811569714652
1024.0,44.0,24.0,-9.463385778816916
1025.0,44.0,26.0,19.46202392232769
1026.0,44.0,28.0,0.9833575502056836
1027.0,44.0,30.0,-27.94769843326079
1028.0,44.0,32.0,15.435916574768177
1029.0,44.0,34.0,-8.723578847544054
1030.0,44.0,36.0,-0.632450084913296
1031.0,44.0,38.0,0.4892900856357076
1032.0,44.0,40.0,-0.1179889201200437
1033.0,44.0,42.0,0.0149842435922136
1034.0,44.0,44.0,0.0013200608491318
1058.0,45.0,1.0,0.0883117412706812
1059.0,45.0,3.0,0.0195237839644932
1060.0,45.0,5.0,-0.1247644255268358
1061.0,45.0,7.0,-0.0762697105156742
1062.0,45.0,9.0,0.0400910520932257
1063.0,45.0,11.0,-0.0467627132458124
1064.0,45.0,13.0,0.0426213910605932
1065.0,45.0,15.0,0.184391850032265
1066.0,45.0,17.0,-0.1020271514037609
1067.0,45.0,19.0,-0.160421794071075
1068.0,45.0,21.0,0.0363824042868972
1069.0,45.0,23.0,0.4367704626931069
1070.0,45.0,25.0,0.2131071055062844
1071.0,45.0,27.0,-0.1587784422444136
1072.0,45.0,29.0,-0.2592445435418291
1073.0,45.0,31.0,0.1659497328109491
1074.0,45.0,33.0,-0.0482865587622601
1075.0,45.0,35.0,-0.0813489269496373
1076.0,45.0,37.0,0.0477863343294493
1077.0,45.0,39.0,-0.0046354282256729
1078.0,45.0,41.0,-0.0049526997478919
1079.0,45.0,43.0,0.0017685833269534
1080.0,45.0,45.0,-0.000124714555305
1104.0,46.0,0.0,13.111563609135125
1105.0,46.0,2.0,22.883166583210897
1106.0,46.0,4.0,19.398260362167026
1107.0,46.0,6.0,-10.495027423566684
1108.0,46.0,8.0,30.42760682467591
1109.0,46.0,10.0,48.75492649033204
1110.0,46.0,12.0,-44.77495783298285
1111.0,46.0,14.0,10.123378978090283
1112.0,46.0,16.0,-59.93615864954732
1113.0,46.0,18.0,4.044071403028374
1114.0,46.0,20.0,23.31173662962936
1115.0,46.0,22.0,61.77579878670162
1116.0,46.0,24.0,-22.71939412555258
1117.0,46.0,26.0,-5.398277033983723
1118.0,46.0,28.0,12.575666274168292
1119.0,46.0,30.0,-37.43888619395388
1120.0,46.0,32.0,0.1755692872117395
1121.0,46.0,34.0,2.8273853348615003
1122.0,46.0,36.0,-9.087008021932082
1123.0,46.0,38.0,2.5845115313994587
1124.0,46.0,40.0,-0.1448654866048147
1125.0,46.0,42.0,-0.1276554757193115
1126.0,46.0,44.0,0.0463124875270721
1127.0,46.0,46.0,-0.0059344162393991
1152.0,47.0,1.0,0.0035316569579447
1153.0,47.0,3.0,-0.0387972042901815
1154.0,47.0,5.0,-0.1378400685153553
1155.0,47.0,7.0,0.2940105438450486
1156.0,47.0,9.0,-0.1618193595278358
1157.0,47.0,11.0,0.175910279847225
1158.0,47.0,13.0,-0.0092960718564788
1159.0,47.0,15.0,-0.1842414637910671
1160.0,47.0,17.0,0.0586886919614028
1161.0,47.0,19.0,-0.3265470019633606
1162.0,47.0,21.0,0.2014785225189391
1163.0,47.0,23.0,0.2359561632462601
1164.0,47.0,25.0,0.0474217322254882
1165.0,47.0,27.0,0.0633899161339557
1166.0,47.0,29.0,-0.4902247936811502
1167.0,47.0,31.0,0.0665666228593046
1168.0,47.0,33.0,0.1160618200461375
1169.0,47.0,35.0,-0.181936844932086
1170.0,47.0,37.0,0.0400606472223133
1171.0,47.0,39.0,0.0384398869657489
1172.0,47.0,41.0,-0.0295149913833339
1173.0,47.0,43.0,0.0079740395845929
1174.0,47.0,45.0,-0.0002941116144353
1175.0,47.0,47.0,-9.715337258953028e-05
1200.0,48.0,0.0,7.503701630826685
1201.0,48.0,2.0,-0.3292134636217686
1202.0,48.0,4.0,10.104300402832024
1203.0,48.0,6.0,-5.354532143854332
1204.0,48.0,8.0,0.1643821567588132
1205.0,48.0,10.0,16.527447242567142
1206.0,48.0,12.0,-11.689017445143731
1207.0,48.0,14.0,-34.19806272559104
1208.0,48.0,16.0,19.07913247146713
1209.0,48.0,18.0,-10.595668969725171
1210.0,48.0,20.0,44.97266556208702
1211.0,48.0,22.0,30.98805358858261
1212.0,48.0,24.0,-1.0529266350447744
1213.0,48.0,26.0,-24.948040879956828
1214.0,48.0,28.0,-17.469573332424915
1215.0,48.0,30.0,-0.6375320119829374
1216.0,48.0,32.0,-39.19443192177227
1217.0,48.0,34.0,17.19630395630598
1218.0,48.0,36.0,-10.25685547036622
1219.0,48.0,38.0,-1.9088817430001976
1220.0,48.0,40.0,2.973033686519327
1221.0,48.0,42.0,-1.2031693556393444
1222.0,48.0,44.0,0.2166534161514432
1223.0,48.0,46.0,-0.0109101967218519
1224.0,48.0,48.0,-0.0050821615195021
1250.0,49.0,1.0,-0.1420243948783801
1251.0,49.0,3.0,-0.0136477888907049
1252.0,49.0,5.0,0.0807928254330939
1253.0,49.0,7.0,0.1769991215598265
1254.0,49.0,9.0,0.1217000340098849
1255.0,49.0,11.0,-0.0476740376860128
1256.0,49.0,13.0,0.0443835270847542
1257.0,49.0,15.0,-0.0404415110303086
1258.0,49.0,17.0,-0.3189789359952446
1259.0,49.0,19.0,0.1536841589709405
1260.0,49.0,21.0,0.0425826265164496
1261.0,49.0,23.0,0.046617664440275
1262.0,49.0,25.0,0.138054777339081
1263.0,49.0,27.0,-0.2134971421052394
1264.0,49.0,29.0,-0.109208655105294
1265.0,49.0,31.0,-0.3125859454625164
1266.0,49.0,33.0,0.2567761996058434
1267.0,49.0,35.0,-0.1033133264951549
1268.0,49.0,37.0,-0.0957648121573089
1269.0,49.0,39.0,0.1223115990123143
1270.0,49.0,41.0,-0.0461054610744118
